Tempo,Temperatura
2.42,25.0
6.47,24.9
10.53,24.9
14.58,25.0
18.63,25.0
22.69,24.8
26.74,24.8
30.79,24.9
34.84,25.0
38.9,24.9
42.95,24.8
47.0,24.8
51.05,24.8
55.1,24.8
59.16,24.8
63.21,24.7
67.26,24.7
71.31,24.6
75.37,24.7
79.42,24.5
83.47,24.5
87.52,24.5
91.57,24.5
95.62,24.4
99.68,24.4
103.73,24.3
107.78,24.2
111.83,24.2
115.88,24.2
119.94,24.1
123.99,24.2
128.04,24.1
132.09,24.0
136.14,24.0
140.19,24.0
144.24,24.0
148.3,23.9
152.35,23.9
156.4,23.9
160.45,23.9
164.5,23.9
168.55,23.9
172.61,23.7
176.66,23.8
180.71,23.8
184.76,23.7
188.82,23.6
192.87,23.7
196.92,23.7
200.98,23.6
205.03,23.5
209.08,23.6
213.13,23.6
217.18,23.5
221.23,23.4
225.29,23.5
229.34,23.4
233.39,23.4
237.44,23.5
241.49,23.5
245.54,23.4
249.6,23.4
253.65,23.5
257.7,23.4
261.76,23.3
265.81,23.4
269.86,23.3
273.91,23.3
277.96,23.3
282.01,23.3
286.06,23.2
290.12,23.3
294.17,23.3
298.22,23.2
302.27,23.3
306.32,23.3
310.37,23.2
314.43,23.3
318.48,23.3
322.53,23.2
326.58,23.2
330.64,23.3
334.69,23.2
338.74,23.4
342.8,23.2
346.85,23.3
350.9,23.3
354.96,23.3
359.01,23.3
363.06,23.3
367.11,23.2
371.16,23.2
375.22,23.2
379.27,23.3
