Tempo,Temperatura,Amostra,setpoint,duty,y_controller,pwm
3.13,17.0,0,20.0,20,-3.43,52428
9.13,17.0,1,20.0,20,-3.44,52428
15.13,17.0,2,16.0,47,1.01,34734
21.13,17.0,3,16.0,47,1.01,34734
27.13,17.0,4,15.0,99,2.13,656
33.13,17.0,5,15.0,99,2.14,656
39.13,17.0,6,15.0,99,2.14,656
45.13,17.0,7,15.0,99,2.14,656
51.12,17.0,8,15.0,99,2.15,656
57.12,16.9,9,15.0,99,2.15,656
63.12,16.8,10,15.0,99,2.04,656
69.12,16.7,11,15.0,93,1.94,4588
75.12,16.6,12,15.0,88,1.83,7865
81.13,16.5,13,15.0,83,1.72,11141
87.13,16.4,14,15.0,78,1.61,14418
93.12,16.2,15,15.0,73,1.5,17695
99.12,16.0,16,15.0,57,1.28,28181
105.12,15.9,17,15.0,47,1.06,34734
111.12,15.7,18,15.0,42,0.95,38011
117.12,15.5,19,15.0,31,0.73,45220
123.12,15.4,20,15.0,21,0.51,51773
129.12,15.3,21,15.0,20,0.4,52428
135.12,15.2,22,15.0,20,0.29,52428
141.12,15.1,23,15.0,20,0.18,52428
147.12,15.0,24,15.0,20,0.07,52428
153.12,15.0,25,15.0,20,-0.05,52428
159.12,14.9,26,15.0,20,-0.05,52428
165.12,14.9,27,15.0,20,-0.16,52428
171.12,14.9,28,15.0,20,-0.16,52428
177.12,14.9,29,15.0,20,-0.16,52428
183.12,14.9,30,15.0,20,-0.16,52428
189.12,14.9,31,15.0,20,-0.16,52428
195.12,14.9,32,15.0,20,-0.16,52428
201.12,15.0,33,15.0,20,-0.16,52428
207.12,15.0,34,15.0,20,-0.05,52428
213.12,15.1,35,15.0,20,-0.05,52428
219.12,15.1,36,15.0,20,0.06,52428
225.12,15.1,37,15.0,20,0.06,52428
231.12,15.2,38,14.0,52,1.18,31457
237.12,15.2,39,14.0,57,1.29,28181
243.12,15.3,40,14.0,57,1.3,28181
249.12,15.3,41,14.0,68,1.41,20972
255.12,15.4,42,14.0,68,1.41,20972
261.12,15.4,43,14.0,73,1.53,17695
267.12,15.4,44,14.0,73,1.53,17695
273.12,15.4,45,14.0,73,1.53,17695
279.12,15.4,46,14.0,73,1.54,17695
285.12,15.3,47,14.0,73,1.54,17695
291.12,15.3,48,14.0,68,1.43,20972
297.12,15.2,49,14.0,68,1.43,20972
303.11,15.2,50,14.0,62,1.32,24904
