Tempo,Temperatura
0.06,21.5
0.06,21.9
0.06,21.9
0.06,21.9
0.06,21.8
0.06,22.0
0.06,21.7
0.07,22.0
0.07,21.7
0.09,21.7
0.09,21.9
1.28,21.9
4.28,22.0
7.28,22.0
10.28,21.8
13.28,21.6
16.28,21.7
19.28,21.9
22.28,22.0
25.28,21.6
28.28,21.8
31.28,21.7
34.28,21.9
37.28,21.6
40.28,21.7
43.28,21.7
46.28,22.0
49.28,22.0
52.28,21.9
55.28,21.9
58.28,21.8
61.28,21.9
64.28,22.0
67.28,22.0
70.28,21.7
73.28,21.7
76.28,21.5
79.28,21.6
82.28,21.7
85.29,21.9
88.28,21.9
91.28,21.7
94.28,21.8
97.28,21.9
100.28,21.8
103.28,22.0
106.28,22.0
109.28,21.9
112.28,21.9
115.28,21.7
118.28,22.0
121.28,21.7
124.28,21.8
127.28,21.8
130.28,21.7
133.28,21.9
136.28,21.8
139.28,21.7
142.28,21.7
145.28,21.7
148.28,21.9
151.28,21.7
154.28,21.7
157.28,21.6
160.28,21.8
163.28,21.9
166.28,21.9
169.28,21.8
172.28,22.0
175.28,22.0
178.28,22.1
181.28,21.9
184.28,22.0
187.28,22.1
190.28,21.9
193.28,21.8
196.28,22.0
199.29,21.9
202.29,21.9
205.29,21.7
208.29,21.8
211.29,21.6
214.29,21.9
217.29,21.8
220.29,21.9
223.29,21.7
226.29,21.9
229.29,21.6
232.29,22.0
235.29,21.8
238.29,21.9
241.29,21.7
244.29,21.9
247.29,22.0
250.29,21.9
253.29,21.9
256.29,21.7
259.29,21.9
262.29,22.0
265.29,21.9
268.29,22.0
271.29,21.9
274.29,21.9
277.29,22.1
280.29,21.7
283.29,22.0
286.29,21.9
289.29,22.0
292.29,22.2
295.29,21.9
298.29,21.8
301.29,22.0
304.29,22.0
307.29,22.1
310.29,21.8
313.29,21.9
316.29,21.7
319.29,22.0
322.29,22.1
325.29,21.9
328.29,22.0
331.29,21.7
334.29,21.7
337.29,21.9
