Tempo,Temperatura,Amostra,setpoint,duty,y_controller,pwm
0.06,22.0,0,20.0,7,0.64,60948
0.06,22.0,1,20.0,7,0.63,60948
0.06,22.0,2,20.0,7,0.63,60948
0.06,22.0,3,20.0,7,0.63,60948
0.06,22.0,4,20.0,7,0.63,60948
0.06,22.0,5,20.0,7,0.63,60948
0.06,22.0,6,20.0,7,0.63,60948
0.06,22.0,7,20.0,7,0.63,60948
0.06,22.0,8,20.0,7,0.63,60948
0.06,22.0,9,20.0,7,0.63,60948
0.51,22.0,10,20.0,7,0.63,60948
2.51,22.0,11,20.0,7,0.63,60948
4.51,22.0,12,20.0,7,0.63,60948
6.51,22.0,13,18.5,18,1.54,53739
8.51,22.0,14,15.5,41,3.32,38666
10.51,22.0,15,13.0,100,4.77,0
12.51,22.0,16,13.0,100,4.68,0
14.51,22.0,17,13.0,100,4.59,0
16.51,22.0,18,13.0,100,4.5,0
18.51,22.0,19,13.0,100,4.42,0
20.51,22.0,20,13.0,100,4.35,0
22.51,22.0,21,13.0,100,4.27,0
24.51,22.0,22,13.0,100,4.2,0
26.51,22.0,23,13.0,100,4.14,0
28.51,21.8,24,13.0,48,3.95,34079
30.51,21.9,25,13.0,48,3.95,34079
32.51,21.8,26,13.0,47,3.83,34734
34.51,21.9,27,13.0,47,3.84,34734
36.51,21.9,28,13.0,46,3.79,35389
38.51,21.9,29,13.0,46,3.74,35389
40.51,21.8,30,13.0,44,3.63,36700
42.51,21.8,31,13.0,43,3.59,37355
44.51,21.8,32,13.0,43,3.55,37355
46.51,21.8,33,13.0,43,3.51,37355
48.51,21.8,34,13.0,42,3.47,38011
50.51,21.7,35,13.0,41,3.37,38666
52.51,21.7,36,13.0,41,3.34,38666
54.51,21.8,37,13.0,41,3.37,38666
56.51,21.8,38,13.0,41,3.34,38666
58.51,21.8,39,13.0,41,3.31,38666
60.51,21.7,40,13.0,39,3.22,39977
62.51,21.7,41,13.0,38,3.19,40632
64.51,21.7,42,13.0,38,3.17,40632
66.51,21.8,43,13.0,39,3.2,39977
68.51,21.7,44,13.0,38,3.12,40632
70.51,21.7,45,13.0,37,3.1,41288
72.51,21.7,46,13.0,37,3.08,41288
74.51,21.7,47,13.0,37,3.06,41288
76.51,21.7,48,13.0,37,3.04,41288
78.51,21.7,49,13.0,37,3.03,41288
80.51,21.7,50,13.0,37,3.01,41288
82.51,21.7,51,13.0,36,3.0,41943
84.51,21.7,52,13.0,36,2.98,41943
86.51,21.7,53,13.0,36,2.97,41943
88.51,21.7,54,13.0,36,2.95,41943
90.51,21.7,55,13.0,36,2.94,41943
92.51,21.7,56,13.0,36,2.93,41943
94.51,21.7,57,13.0,36,2.92,41943
96.51,21.7,58,13.0,36,2.91,41943
98.51,21.7,59,13.0,36,2.9,41943
100.51,21.7,60,13.0,34,2.89,43254
102.51,21.7,61,13.0,34,2.88,43254
104.51,21.7,62,13.0,34,2.88,43254
106.51,21.7,63,13.0,34,2.87,43254
108.51,21.7,64,13.0,34,2.86,43254
110.51,21.7,65,13.0,34,2.86,43254
112.51,21.7,66,13.0,34,2.85,43254
114.51,21.7,67,13.0,34,2.85,43254
116.51,21.7,68,13.0,34,2.84,43254
118.51,21.7,69,13.0,34,2.84,43254
120.51,21.7,70,13.0,34,2.83,43254
122.51,21.7,71,13.0,34,2.83,43254
124.51,21.7,72,13.0,34,2.83,43254
126.51,21.7,73,13.0,34,2.82,43254
128.51,21.7,74,13.0,34,2.82,43254
130.51,21.7,75,13.0,34,2.82,43254
132.51,21.7,76,13.0,34,2.82,43254
134.51,21.7,77,13.0,34,2.81,43254
136.51,21.7,78,13.0,34,2.81,43254
138.51,21.7,79,13.0,34,2.81,43254
140.51,21.7,80,13.0,34,2.81,43254
142.51,21.7,81,13.0,34,2.81,43254
144.51,21.7,82,13.0,34,2.81,43254
146.51,21.7,83,13.0,34,2.81,43254
148.51,21.7,84,13.0,34,2.81,43254
150.51,21.7,85,13.0,34,2.81,43254
152.51,21.8,86,13.0,34,2.87,43254
154.51,21.7,87,13.0,34,2.81,43254
156.51,21.7,88,13.0,34,2.81,43254
158.51,21.7,89,13.0,34,2.81,43254
160.51,21.7,90,13.0,34,2.81,43254
162.51,21.7,91,13.0,34,2.81,43254
164.51,21.7,92,13.0,34,2.81,43254
166.51,21.7,93,13.0,34,2.82,43254
168.51,21.7,94,13.0,34,2.82,43254
170.5,21.7,95,13.0,34,2.82,43254
172.5,21.7,96,13.0,34,2.82,43254
174.5,21.7,97,13.0,34,2.82,43254
176.5,21.7,98,13.0,34,2.82,43254
178.5,21.7,99,13.0,34,2.83,43254
180.5,21.7,100,13.0,34,2.83,43254
182.5,21.7,101,13.0,34,2.83,43254
184.5,21.7,102,13.0,34,2.83,43254
186.5,21.7,103,13.0,34,2.84,43254
188.5,21.7,104,13.0,34,2.84,43254
190.5,21.8,105,13.0,36,2.9,41943
192.5,21.7,106,13.0,34,2.84,43254
194.5,21.8,107,13.0,36,2.91,41943
196.5,21.8,108,13.0,36,2.91,41943
198.5,21.8,109,13.0,36,2.91,41943
200.5,21.8,110,13.0,36,2.91,41943
202.5,21.8,111,13.0,36,2.92,41943
204.5,21.8,112,13.0,36,2.92,41943
206.5,21.8,113,13.0,36,2.92,41943
208.5,21.8,114,13.0,36,2.92,41943
210.5,21.8,115,13.0,36,2.92,41943
212.5,21.8,116,13.0,36,2.93,41943
214.5,21.8,117,13.0,36,2.93,41943
216.5,21.8,118,13.0,36,2.93,41943
218.5,21.8,119,13.0,36,2.94,41943
220.5,21.8,120,13.0,36,2.94,41943
222.5,21.8,121,13.0,36,2.94,41943
224.5,21.8,122,13.0,36,2.94,41943
226.5,21.8,123,13.0,36,2.95,41943
228.5,21.8,124,13.0,36,2.95,41943
230.5,21.8,125,13.0,36,2.95,41943
232.5,21.8,126,13.0,36,2.96,41943
234.5,21.8,127,13.0,36,2.96,41943
236.5,21.8,128,13.0,36,2.96,41943
238.51,21.8,129,13.0,36,2.97,41943
240.51,21.8,130,13.0,36,2.97,41943
242.5,21.8,131,13.0,36,2.98,41943
244.5,21.8,132,13.0,36,2.98,41943
246.5,21.9,133,13.0,37,3.04,41288
248.5,21.9,134,13.0,37,3.05,41288
250.5,21.9,135,13.0,37,3.05,41288
252.5,21.9,136,13.0,37,3.05,41288
254.5,21.8,137,13.0,36,2.99,41943
256.5,21.9,138,13.0,37,3.06,41288
258.5,21.9,139,13.0,37,3.06,41288
260.5,21.9,140,13.0,37,3.06,41288
262.5,21.9,141,13.0,37,3.07,41288
264.5,21.9,142,13.0,37,3.07,41288
266.5,21.9,143,13.0,37,3.07,41288
268.5,21.9,144,13.0,37,3.08,41288
270.5,22.0,145,13.0,38,3.14,40632
272.5,21.9,146,13.0,37,3.08,41288
274.5,21.9,147,13.0,37,3.08,41288
276.5,22.0,148,13.0,38,3.15,40632
278.5,22.0,149,13.0,38,3.15,40632
280.5,22.0,150,13.0,38,3.15,40632
282.5,22.0,151,13.0,38,3.16,40632
284.5,22.0,152,13.0,38,3.16,40632
