Tempo,Temperatura
2.14,26.0
6.19,25.9
10.25,25.9
14.3,25.8
18.35,26.0
22.4,26.0
26.45,25.8
30.51,26.0
34.56,26.0
38.61,25.9
42.67,26.0
46.72,26.0
50.77,26.0
54.82,25.9
58.87,26.1
62.93,25.9
66.98,25.8
71.03,25.9
75.08,25.8
79.13,25.8
83.19,25.7
87.24,25.6
91.29,25.6
95.34,25.6
99.39,25.4
103.44,25.3
107.5,25.3
111.55,25.3
115.6,25.2
119.65,25.1
123.71,25.0
127.76,25.0
131.81,24.9
135.87,24.9
139.93,24.8
143.98,24.8
148.03,24.7
152.08,24.8
156.13,24.6
160.19,24.5
164.24,24.6
168.29,24.5
172.34,24.5
176.39,24.4
180.45,24.3
184.5,24.3
188.55,24.3
192.6,24.2
196.66,24.2
200.71,24.1
204.76,24.1
208.81,24.1
212.86,24.1
216.91,24.0
220.96,24.0
225.02,23.9
229.07,23.9
233.12,24.0
237.18,23.9
241.23,23.9
245.28,23.8
249.34,23.8
253.39,23.8
257.44,23.8
261.5,23.7
265.55,23.7
269.6,23.7
273.66,23.7
277.71,23.6
281.76,23.6
285.81,23.6
289.86,23.6
293.91,23.5
297.96,23.6
302.01,23.4
306.07,23.4
310.12,23.4
314.17,23.5
318.23,23.4
322.28,23.4
326.33,23.4
330.38,23.4
334.43,23.4
338.48,23.5
342.54,23.4
346.59,23.4
350.64,23.5
354.69,23.3
358.74,23.2
362.8,23.3
366.85,23.3
370.9,23.3
374.96,23.2
379.01,23.3
383.06,23.1
387.11,23.3
391.17,23.2
395.22,23.2
399.27,23.2
403.32,23.3
407.38,23.2
411.43,23.2
415.48,23.2
419.53,23.3
423.58,23.3
427.64,23.3
431.69,23.3
435.74,23.1
439.8,23.2
443.85,23.2
447.9,23.1
451.96,23.1
456.01,23.1
460.06,23.2
464.12,23.1
468.17,23.2
472.22,23.1
476.27,23.1
480.33,23.1
484.38,23.2
488.43,23.1
492.48,23.0
496.54,23.0
500.59,23.1
504.64,23.1
508.7,23.2
512.75,23.2
516.81,23.0
520.86,23.0
524.91,23.1
