Tempo,Temperatura
3.95,24.4
8.02,24.4
12.09,24.4
16.15,24.4
20.21,24.4
24.27,24.4
28.32,24.4
32.38,24.4
36.43,24.4
40.46,24.4
44.47,24.4
48.5,24.4
52.54,24.4
56.59,24.5
60.63,24.5
64.68,24.5
68.72,24.5
72.77,24.5
76.83,24.5
80.88,24.5
84.93,24.5
88.98,24.5
93.03,24.6
97.08,24.6
101.13,24.6
105.18,24.6
109.23,24.6
113.28,24.6
117.33,24.6
121.38,24.7
125.43,24.7
129.47,24.7
133.52,24.7
137.57,24.6
141.62,24.7
145.67,24.6
149.72,24.7
153.77,24.6
157.82,24.6
161.87,24.6
165.92,24.6
169.97,24.6
174.01,24.6
178.06,24.6
182.11,24.6
186.16,24.6
190.21,24.6
194.25,24.6
198.3,24.6
202.35,24.6
206.4,24.6
210.45,24.6
214.5,24.6
218.55,24.6
222.6,24.6
226.65,24.6
230.69,24.6
234.74,24.6
238.79,24.6
242.84,24.5
246.89,24.6
250.94,24.6
254.99,24.5
259.04,24.5
263.09,24.6
267.15,24.6
271.21,24.5
275.26,24.5
279.32,24.5
283.38,24.5
287.43,24.6
291.49,24.5
295.54,24.5
299.59,24.5
303.64,24.6
307.7,24.5
311.75,24.5
315.8,24.5
319.86,24.5
323.91,24.5
327.96,24.5
332.01,24.5
336.06,24.5
340.11,24.5
344.16,24.5
348.21,24.5
352.26,24.5
356.31,24.5
360.36,24.5
364.41,24.5
368.46,24.5
372.51,24.6
376.57,24.5
380.62,24.5
384.67,24.5
388.72,24.6
392.77,24.6
396.82,24.6
400.87,24.6
404.92,24.5
408.98,24.6
413.03,24.6
417.08,24.6
421.13,24.6
425.18,24.6
429.23,24.6
433.29,24.6
437.34,24.6
441.39,24.6
445.44,24.6
449.49,24.6
453.54,24.6
457.59,24.6
461.64,24.6
465.69,24.6
469.74,24.6
473.79,24.6
477.84,24.6
481.89,24.6
485.94,24.6
489.99,24.6
494.04,24.6
498.09,24.6
502.15,24.6
506.2,24.6
510.25,24.6
514.3,24.6
518.35,24.6
522.4,24.6
526.45,24.6
530.5,24.6
534.55,24.6
538.6,24.6
542.65,24.6
546.7,24.6
550.75,24.6
554.8,24.6
558.85,24.6
562.9,24.6
566.95,24.6
571.0,24.6
575.05,24.6
579.11,24.6
583.16,24.6
587.21,24.6
591.26,24.6
595.31,24.5
599.36,24.5
603.41,24.5
607.46,24.5
611.51,24.5
615.56,24.5
619.61,24.5
623.66,24.5
627.71,24.5
631.76,24.5
635.81,24.5
639.86,24.5
643.91,24.5
647.96,24.5
652.01,24.5
656.06,24.5
660.1,24.5
664.15,24.5
668.2,24.4
672.25,24.4
676.31,24.4
680.36,24.5
684.41,24.5
688.46,24.4
692.51,24.4
696.56,24.4
700.61,24.4
704.66,24.4
708.71,24.4
712.76,24.4
716.81,24.4
720.86,24.4
724.91,24.4
728.96,24.3
733.01,24.4
737.06,24.4
741.11,24.4
745.16,24.3
749.21,24.4
753.26,24.3
757.32,24.4
761.37,24.4
765.42,24.4
769.48,24.3
773.53,24.3
777.58,24.3
781.63,24.4
785.68,24.3
789.73,24.3
793.78,24.3
797.83,24.3
801.88,24.2
805.93,24.3
809.98,24.3
814.03,24.3
818.08,24.3
822.13,24.3
826.18,24.3
830.23,24.2
834.29,24.3
838.34,24.2
842.39,24.2
846.44,24.3
850.5,24.2
854.55,24.3
858.6,24.2
862.65,24.2
866.7,24.2
870.75,24.2
874.8,24.3
878.85,24.2
882.9,24.2
886.95,24.2
891.0,24.2
895.05,24.2
899.1,24.2
903.15,24.2
907.2,24.2
911.25,24.2
915.3,24.2
919.35,24.2
923.4,24.2
927.45,24.2
931.5,24.2
935.55,24.2
939.6,24.2
943.65,24.2
947.7,24.2
951.75,24.2
955.8,24.1
959.85,24.2
963.9,24.1
967.95,24.2
972.01,24.2
976.06,24.1
980.11,24.1
