Tempo,Temperatura
2.23,26.3
6.29,26.5
10.34,26.5
14.39,26.5
18.44,26.6
22.49,26.7
26.54,26.6
30.6,26.7
34.65,26.8
38.7,27.0
42.76,27.1
46.81,27.5
50.86,27.5
54.91,27.8
58.97,28.1
63.02,28.5
67.07,29.0
71.13,29.2
75.18,29.8
79.24,30.3
83.29,31.0
87.34,31.4
91.4,32.0
95.45,32.7
99.51,33.3
103.56,34.0
107.61,34.6
111.67,35.0
115.72,36.0
119.78,36.5
123.83,37.2
127.88,38.0
131.94,38.7
135.99,39.4
140.05,40.1
144.1,40.7
148.16,41.5
152.21,42.3
156.27,43.0
160.32,43.6
164.38,44.3
168.43,45.0
172.48,45.7
176.54,46.2
180.59,46.8
184.65,47.5
188.7,48.1
192.76,48.8
196.81,49.3
200.86,49.7
204.92,50.5
208.97,51.2
213.02,51.5
217.08,52.3
221.13,53.0
225.18,53.4
229.24,53.8
233.29,54.3
237.34,54.8
241.4,55.3
245.45,55.8
249.5,56.2
253.56,56.6
257.61,57.4
261.66,57.8
265.71,58.1
269.77,58.5
273.82,58.8
277.88,59.2
281.93,59.6
285.98,60.0
290.03,60.0
294.08,60.0
298.13,60.0
302.18,60.0
306.23,60.0
310.28,60.0
314.33,60.0
318.38,60.0
322.43,60.0
326.48,60.0
330.53,60.0
334.58,60.0
