,tempo,temperatura,duty
0,0,35.84,40
1,0,36.05,40
2,0,35.82,40
3,0,35.48,40
4,0,35.46,40
5,0,35.32,40
6,0,35.0,40
7,0,34.63,40
8,0,33.9,40
9,0,34.65,40
10,0,34.21,40
11,0,34.05,40
12,0,33.96,40
13,0,33.57,40
14,0,33.55,40
15,0,33.57,40
16,0,33.48,40
17,0,33.43,40
18,0,33.31,40
19,0,33.31,40
20,0,33.28,40
21,0,33.26,40
22,0,33.27,40
23,0,32.88,40
24,0,33.1,40
25,0,34.94,40
26,0,32.88,40
27,0,32.86,40
28,0,32.8,40
29,0,32.79,40
30,0,32.61,40
31,0,32.42,40
32,0,32.79,40
33,0,32.5,40
34,0,33.43,40
35,0,32.36,40
36,0,32.49,40
37,0,32.55,40
38,0,32.69,40
39,0,32.42,40
40,0,32.58,40
41,0,32.25,40
42,0,32.41,40
43,0,31.77,40
44,0,32.18,40
45,0,32.2,40
46,0,31.85,40
47,0,32.05,40
48,0,31.76,40
49,0,32.06,40
50,0,31.72,40
51,0,31.68,40
52,0,31.56,40
53,0,31.66,40
54,0,31.69,40
55,0,31.99,40
56,0,31.65,40
57,0,34.68,40
58,0,31.52,40
59,0,31.52,40
60,0,31.33,40
61,0,31.37,40
62,0,32.02,40
63,0,31.62,40
64,0,31.34,40
65,0,31.52,40
66,0,30.82,40
67,0,31.37,40
68,0,32.17,40
69,0,31.65,40
70,0,31.31,40
71,0,31.4,40
72,0,31.46,40
73,0,31.22,40
74,0,31.02,40
75,0,31.09,40
76,0,31.21,40
77,0,30.89,40
78,0,30.91,40
79,0,30.73,40
80,0,31.06,40
81,0,30.97,40
82,0,30.97,40
83,0,30.79,40
84,0,30.69,40
85,0,31.2,40
86,0,30.84,40
87,0,30.88,40
88,0,30.72,40
89,0,30.71,40
90,0,30.78,40
91,0,30.74,40
92,0,30.7,40
93,0,30.65,40
94,0,30.54,40
95,0,30.46,40
96,0,29.9,40
97,0,30.45,40
98,0,31.03,40
99,0,30.42,40
100,0,30.36,40
101,0,30.71,40
102,0,30.63,40
103,0,30.14,40
104,0,30.34,40
105,0,30.12,40
106,0,30.14,40
107,0,30.39,40
108,0,30.2,40
109,0,29.39,40
110,0,30.86,40
111,0,29.75,40
112,0,30.61,40
113,0,32.3,40
114,0,29.99,40
115,0,30.07,40
116,0,29.72,40
